Couldn't open C:\dev\Godot/godot.windows.opt.tools.64 - oct 06.pck
Couldn't open godot.windows.opt.tools.64 - oct 06.pck
OpenGL ES 3.0 Renderer: Intel(R) Iris(TM) Graphics 540
GLES3: max ubo light: 409
GLES3: max ubo reflections: 455, ubo size: 144
(384, 128)
(416, 128)
(384, 128)
(384, 160)
(352, 160)
(320, 160)
(320, 128)
(352, 128)
(320, 128)
(352, 128)
(384, 128)
(384, 96)
(352, 96)
(384, 96)
(384, 128)
(416, 128)
(384, 128)
(352, 128)
(352, 160)
(384, 160)
(416, 160)
(384, 160)
(352, 160)
(352, 128)
(320, 128)
(352, 128)
(384, 128)
(416, 128)
(384, 128)
(384, 96)
(384, 128)
(384, 160)
(416, 160)
(448, 160)
(448, 128)
(416, 128)
(416, 96)
(416, 128)
(448, 128)
(416, 128)
(448, 128)
(416, 128)
(416, 160)
(416, 192)
(448, 192)
(448, 224)
(480, 224)
(512, 224)
(544, 224)
(544, 256)
(544, 288)
(544, 320)
(576, 320)
(544, 320)
(544, 288)
(512, 288)
(544, 288)
(544, 320)
(544, 352)
(576, 352)
(576, 384)
(544, 384)
(544, 416)
(576, 416)
(544, 416)
(544, 384)
(512, 384)
(480, 384)
(480, 416)
(480, 384)
(512, 384)
(512, 416)
(512, 448)
(544, 448)
(512, 448)
(512, 416)
(544, 416)
(576, 416)
(608, 416)
(576, 416)
(576, 448)
(576, 416)
(544, 416)
(576, 416)
(608, 416)
(576, 416)
(576, 384)
(576, 352)
(576, 320)
(608, 320)
(640, 320)
(640, 352)
(640, 320)
(640, 352)
(672, 352)
(704, 352)
(704, 384)
(704, 352)
(672, 352)
(640, 352)
(640, 384)
(640, 416)
(640, 448)
(608, 448)
(608, 416)
(608, 448)
(576, 448)
(576, 416)
(576, 384)
(576, 416)
(608, 416)
(576, 416)
(576, 448)
(576, 416)
(608, 416)
(608, 384)
(640, 384)
(608, 384)
(608, 352)
(608, 384)
(608, 352)
(576, 352)
(608, 352)
(640, 352)
(608, 352)
(608, 384)
(576, 384)
(544, 384)
(544, 416)
(576, 416)
(576, 384)
(576, 352)
(576, 384)
(544, 384)
(512, 384)
(480, 384)
(480, 352)
(480, 320)
(448, 320)
(448, 352)
(448, 384)
(480, 384)
(480, 352)
(480, 320)
(480, 352)
(480, 384)
(480, 352)
(512, 352)
(512, 320)
(544, 320)
(544, 288)
(544, 320)
(544, 352)
(512, 352)
(512, 320)
(512, 352)
(480, 352)
(448, 352)
(480, 352)
(480, 320)
(512, 320)
(512, 352)
(544, 352)
(544, 384)
(544, 416)
(576, 416)
(576, 384)
(576, 416)
(608, 416)
(576, 416)
(576, 384)
(608, 384)
(608, 352)
(640, 352)
(672, 352)
(704, 352)
(672, 352)
(672, 320)
(672, 288)
(672, 256)
(672, 224)
(640, 224)
(640, 256)
(640, 224)
(640, 192)
(608, 192)
(576, 192)
(576, 224)
(576, 256)
(608, 256)
(576, 256)
(544, 256)
(576, 256)
(544, 256)
(512, 256)
(544, 256)
(576, 256)
(576, 224)
(544, 224)
(544, 192)
(512, 192)
(512, 224)
(512, 256)
(480, 256)
(480, 224)
(480, 192)
(512, 192)
(512, 160)
(544, 160)
(512, 160)
(512, 192)
(512, 224)
(512, 256)
(512, 288)
(512, 320)
(480, 320)
(512, 320)
(512, 288)
(480, 288)
(480, 320)
(480, 288)
(480, 320)
(448, 320)
(448, 352)
(416, 352)
(416, 384)
(416, 352)
(416, 384)
(416, 416)
(448, 416)
(416, 416)
(416, 448)
(384, 448)
(416, 448)
(448, 448)
(448, 416)
(416, 416)
(384, 416)
(352, 416)
(384, 416)
(384, 448)
(416, 448)
(416, 416)
(416, 384)
(384, 384)
(352, 384)
(352, 416)
(384, 416)
(384, 384)
(352, 384)
(320, 384)
(352, 384)
(352, 416)
(352, 384)
(352, 352)
(320, 352)
(320, 384)
(320, 352)
(352, 352)
(384, 352)
(352, 352)
(384, 352)
(352, 352)
(320, 352)
(320, 320)
(352, 320)
(320, 320)
(320, 352)
(320, 320)
(320, 352)
(352, 352)
(352, 384)
(352, 352)
(352, 320)
(352, 288)
(352, 256)
(352, 288)
(352, 320)
(352, 352)
(352, 384)
(384, 384)
(384, 352)
(352, 352)
