Couldn't open C:\dev\Godot/godot.windows.opt.tools.64 - oct 06.pck
Couldn't open godot.windows.opt.tools.64 - oct 06.pck
OpenGL ES 3.0 Renderer: Intel(R) Iris(TM) Graphics 540
GLES3: max ubo light: 409
GLES3: max ubo reflections: 455, ubo size: 144
Registered interface Native mobile
(42.559937, 26.242182)
(42.559933, 0)
(42.516068, 0)
(42.441868, 0)
(42.36681, 0)
(42.29084, 0)
(42.213978, 0)
(42.136185, 0)
(42.057495, 0)
(41.977848, 0)
(41.89727, 0)
(41.815723, 0)
(41.733234, 0)
(41.649757, 0)
(41.565304, 0)
(41.479851, 0)
(41.799606, 0)
(0, 26.969835)
(42.28727, 26.679331)
(42.287273, 26.679335)
(42.28727, 26.679331)
(42.28727, 26.679331)
(42.28727, 26.679331)
(42.287273, 26.679335)
(42.287273, 26.679335)
(42.28727, 26.679331)
(42.287273, 26.679331)
(42.287273, 26.679331)
(42.28727, 26.679331)
(42.28727, 26.679331)
(42.287273, 26.679331)
(42.287273, 26.679331)
(42.287273, 26.679331)
(42.287273, 26.679331)
(42.287273, 26.679331)
(42.28727, 26.679329)
(42.287273, 26.679331)
(42.287273, 26.679331)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679329)
(42.287273, 26.679325)
(42.287273, 26.679325)
(42.287273, 26.679325)
(42.287273, 26.679325)
(42.287273, 26.679325)
(42.287273, 26.679325)
(42.287273, 26.679325)
(42.287273, 26.679321)
(42.287273, 26.679321)
(42.287273, 26.679325)
(42.287277, 26.679325)
(42.287277, 26.679325)
(42.287273, 26.679321)
(42.287273, 26.679321)
(42.287277, 26.679321)
(42.287277, 26.679321)
(42.287273, 26.679319)
(42.287277, 26.679321)
(42.287277, 26.679321)
(42.287277, 26.679321)
(42.287281, 26.679321)
(42.287277, 26.679319)
(42.287277, 26.679319)
(42.287281, 26.679319)
(42.287281, 26.679319)
(42.287277, 26.679316)
(42.287277, 26.679316)
(42.287281, 26.679319)
(42.287281, 26.679319)
(42.287277, 26.679316)
(42.287281, 26.679316)
(42.287281, 26.679316)
(42.287285, 26.679316)
(42.287281, 26.679314)
(42.287281, 26.679314)
(42.287281, 26.679314)
(42.287285, 26.679314)
(42.287285, 26.679314)
(42.287281, 26.67931)
(42.287285, 26.67931)
(42.287281, 26.67931)
(42.287281, 26.67931)
(42.287285, 26.67931)
(42.287285, 26.67931)
(42.287289, 26.67931)
(42.287289, 26.67931)
(42.287285, 26.679308)
(42.287289, 26.679308)
(42.287289, 26.679308)
(42.287289, 26.679304)
(42.287289, 26.679304)
(42.287289, 26.679304)
(42.287289, 26.679304)
(42.287289, 26.679302)
(42.287289, 26.679298)
(42.287289, 26.679298)
(42.287289, 26.679298)
(42.287292, 26.679298)
(42.287292, 26.679298)
(42.287289, 26.679295)
(42.287292, 26.679295)
(42.287296, 26.679295)
(42.287292, 26.679293)
(42.287296, 26.679293)
(42.287296, 26.679293)
(42.287296, 26.679293)
(42.287296, 26.679289)
(42.2873, 26.679289)
(42.2873, 26.679287)
(42.2873, 26.679287)
(42.2873, 26.679283)
(42.2873, 26.679283)
(42.2873, 26.679281)
(42.2873, 26.679281)
(42.287304, 26.679281)
(42.287304, 26.679277)
(42.287304, 26.679274)
(42.287308, 26.679274)
(42.287312, 26.679272)
(42.287304, 26.679281)
(42.2873, 26.679289)
(42.287292, 26.679293)
(42.287289, 26.679302)
(42.2873, 26.679293)
(42.287292, 26.679302)
(42.287289, 26.67931)
(42.287292, 26.679298)
(42.287289, 26.679308)
(42.287281, 26.679316)
(42.287289, 26.679304)
(42.287296, 26.679289)
(42.287289, 26.679302)
(42.287285, 26.679314)
(42.287292, 26.679295)
(42.287285, 26.679308)
(42.287296, 26.679293)
(42.287289, 26.679304)
(42.2873, 26.679289)
(42.287289, 26.679302)
(42.287281, 26.679316)
(42.287292, 26.679295)
(42.287285, 26.67931)
(42.287296, 26.679289)
(0, 26.679308)
(0, 26.51861)
(0, 25.530296)
(0, 24.538937)
(0, 23.548721)
(0, 22.563721)
(0, 21.587948)
(0, 20.625055)
(0, 19.678526)
(0, 18.751469)
(0, 17.84664)
(0, 16.966322)
(0, 16.112568)
(0, 15.286907)
(0, 14.490589)
(0, 13.72447)
(0, 12.989086)
(0, 12.284658)
(0, 11.611212)
(0, 10.968447)
(0, 10.355961)
(0, 9.773165)
(0, 9.219411)
(0, 8.693748)
(0, 8.195307)
(0, 7.72316)
(0, 7.276229)
(0, 6.853569)
(0, 6.45405)
(0, 6.076645)
(0, 5.720382)
(0, 5.384191)
(0, 5.06707)
(0, 4.768039)
(0, 4.486202)
(0, 4.220639)
(0, 3.970463)
(0, 3.734828)
(0, 3.512981)
(0, 3.304106)
(0, 3.107483)
(0, 2.922441)
(0, 2.748302)
(0, 2.584492)
(0, 2.430321)
(0, 2.285262)
(0, 2.148837)
(0, 2.020513)
(0, 1.899806)
(0, 1.786234)
(0, 1.679474)
(0, 1.579096)
(0, 1.484667)
(0, 1.395861)
(0, 1.312354)
(0, 1.233875)
(0, 1.160097)
(0, 1.090694)
(0, 1.025393)
(0, 0.964033)
(0, 0.906339)
(0, 0.852093)
(0, 0.801132)
(0, 0.753183)
(0, 0.708081)
(0, 0.665663)
(0, 0.62582)
(0, 0.588387)
(0, 0.5532)
(0, 0.52004)
(0, 0.488908)
(0, 0.459638)
(0, 0.432122)
(0, 0.40625)
(0, 0.381913)
(0, 0.359055)
(0, 0.337568)
(0, 0.317341)
(0, 0.298375)
(0, 0.280505)
(0, 0.263676)
(0, 0.247889)
(0, 0.233088)
(0, 0.21911)
(0, 0.206008)
(0, 0.193674)
(0, 0.182053)
(0, 0.171144)
(0, 0.160893)
(0, 0.1513)
(0, 0.142255)
(0, 0.133703)
(0, 0.1257)
(0, 0.11819)
(0, 0.111118)
(0, 0.104485)
(0, 0.098236)
(0, 0.09237)
(0, 0.086888)
(0, 0.08168)
(0, 0.076801)
(0, 0.072197)
(0, 0.067921)
(0, 0.063864)
(0, 0.060027)
(0, 0.056464)
(0, 0.053065)
(0, 0.049885)
(0, 0.046925)
(0, 0.044129)
(0, 0.041443)
(0, 0.038976)
(0, 0.036619)
(0, 0.034426)
(0, 0.032343)
(0, 0.030425)
(0, 0.028616)
(0, 0.026916)
(0, 0.025272)
(0, 0.023737)
(0, 0.022366)
(0, 0.021051)
(0, 0.01979)
(0, 0.018584)
(0, 0.017487)
(0, 0.016446)
(0, 0.015459)
(0, 0.014527)
(0, 0.013705)
(0, 0.012882)
(0, 0.012115)
(0, 0.011402)
(0, 0.010745)
(0, 0.010087)
(0, 0.009484)
(0, 0.008936)
(0, 0.008387)
(0, 0.007894)
(0, 0.007401)
(0, 0.006962)
(0, 0.006523)
(0, 0.00614)
(0, 0.005756)
(0, 0.005372)
(0, 0.005043)
(0, 0.004714)
(0, 0.00444)
(0, 0.004221)
(0, 0.004002)
(0, 0.003783)
(0, 0.003563)
(0, 0.003344)
(0, 0.00318)
(0, 0.003015)
(0, 0.002851)
(0, 0.002686)
(0, 0.002522)
(0, 0.002412)
(0, 0.002302)
(0, 0.002193)
(0, 0.002083)
(0, 0.001973)
(0, 0.001864)
(0, 0.001754)
(0, 0.001645)
(0, 0.001535)
(0, 0.001425)
(0, 0.00137)
(0, 0.001316)
(0, 0.001261)
(0, 0.001206)
(0, 0.001151)
(0, 0.001096)
(0, 0.001042)
(0, 0.000987)
(0, 0.000932)
(0, 0.000877)
(0, 0.000822)
(0, 0.000767)
(0, 0.000713)
(0, 0.000658)
(0, 0.000603)
(0, 0.000548)
(0, 0.000493)
(0, 0.000493)
(0, 0.000493)
(0, 0.000493)
(0, 0.000493)
(0, 0.000493)
